Preliminary Risk Category,Neighborhood,Address,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source
Medium Risk,Pioneer Square/Chinatown International District,416 7th Ave S,1920,4,No visible retrofit,Commercial/Residential,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,418 7th Ave S,1916,4,Permitted Retrofit,Commercial/Residential,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,418 8th Ave S,1910,5,Visible retrofit,Commercial/Residential,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,423 2nd Av Et S,1900,3,No visible retrofit,Office,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,500 S King St,1926,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,501 S Jackson St,1900,3,Permitted Retrofit,Commercial/Office,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,506 Maynard Ave S,1909,4,Visible retrofit,Commercial/Residential,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,507 12th Ave S,1931,1,No visible retrofit,Industrial,1-10,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,507 Maynard Ave S,1927,5,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review
Medium Risk,Pioneer Square/Chinatown International District,512 Maynard Ave S,1904,1,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,515 Maynard Ave S,1910,4,No visible retrofit,Commercial/Residential,101+,
Medium Risk,Pioneer Square/Chinatown International District,516 7th Ave S,1924,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,519 7th Ave S,1907,3,Visible retrofit,Commercial/Residential,11-100,Photos from Previous Surveys
Critical Risk,Pioneer Square/Chinatown International District,522 7th Ave S,1929,2,No visible retrofit,Schools,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,600 S Jackson St,1932,2,No visible retrofit,Commercial/Office,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,605 S Main St,1910,5,No visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,614 Maynard Ave S,1913,3,No visible retrofit,Commercial/Office,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,614 S Jackson St,1910,3,Visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,621 S King St,1910,6,Permitted Retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,633 Yesler Way,1909,4,No visible retrofit,Office,101+,Photos from Previous Surveys
Medium Risk,Pioneer Square/Chinatown International District,650 S Jackson St,1917,2,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,650 S King St,1920,4,Permitted Retrofit,Commercial/Residential,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,657 S King St,1909,4,Permitted Retrofit,Commercial/Residential,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,657 S Weller St,1909,3,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review
Medium Risk,Pioneer Square/Chinatown International District,664 S King St,1911,5,Substantial Alteration,Commercial/Residential,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,665 S King St,1909,3,Substantial Alteration,Commercial/Residential,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,667 S Jackson St,1915,2,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,670 S Weller St,1908,3,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,68 S Washington St,1900,3,Permitted Retrofit,Commercial/Residential,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,700 S Dearborn St,1929,1,No visible retrofit,Commercial,11-100,Permit Drawing Review
Medium Risk,Pioneer Square/Chinatown International District,701 S Jackson St,1910,1,No visible retrofit,Commercial,1-10,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,705 S King St,1910,4,Permitted Retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,723 S King St,1910,4,Substantial Alteration,Commercial,101+,Google Street View
High Risk,Pioneer Square/Chinatown International District,75 S Main St,1900,4,Permitted Retrofit,Commercial/Residential,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,76 S Main St,1907,3,Permitted Retrofit,Commercial/Office,11-100,Field Visit
High Risk,Pioneer Square/Chinatown International District,77 S Washington St,1903,5,Visible retrofit,Other Mixed Uses,101+,Field Visit
High Risk,Pioneer Square/Chinatown International District,77 Yesler Way,1914,4,Permitted Retrofit,Commercial/Residential,101+,Field Visit
High Risk,Pioneer Square/Chinatown International District,80 S Jackson St,1900,5,Visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,81 S Washington St,1900,3,No visible retrofit,Commercial/Office,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,925 S King St,1924,2,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,95 Yesler Way,1900,3,No visible retrofit,Commercial/Office,11-100,Field Visit
Medium Risk,Queen Anne,100 W Highland Dr,1921,4,No visible retrofit,Residential,101+,Google Street View
High Risk,Queen Anne,100 W Roy St,1912,3,Visible retrofit,Public Assembly,101+,Permit Drawing Review
Critical Risk,Queen Anne,101 W Lee St,1922,3,Permitted Retrofit,Schools,101+,Google Street View
Medium Risk,Queen Anne,232 1st Ave N,1923,1,Permitted Retrofit,Commercial,11-100,Google Street View
Medium Risk,Queen Anne,107 1st Ave N,1908,4,No visible retrofit,Residential,101+,Photos from Previous Surveys
Medium Risk,Queen Anne,109 John St,1922,5,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Queen Anne,115 W Olympic Pl,1909,4,Visible retrofit,Residential,101+,Google Street View
Medium Risk,Queen Anne,117 John St,1907,2,No visible retrofit,Residential,11-100,Photos from Previous Surveys
Medium Risk,Queen Anne,119 W Roy St,1924,4,No visible retrofit,Residential,101+,Google Street View
Medium Risk,Queen Anne,123 John St,1907,2,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Queen Anne,124 Warren Ave N,1930,4,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Queen Anne,125 Warren Ave N,1907,4,No visible retrofit,Residential,11-100,Google Street View
High Risk,Queen Anne,129 1st Ave N,1926,1,Permitted Retrofit,Public Assembly,101+,Photos from Previous Surveys
Medium Risk,Queen Anne,1305 Queen Anne Ave N,1928,3,Permitted Retrofit,Residential,11-100,Google Street View
High Risk,Queen Anne,1309 Dexter Ave N,1927,4,No visible retrofit,Commercial/Residential,11-100,Google Street View
Medium Risk,Queen Anne,14 Boston St,1922,1,No visible retrofit,Commercial,1-10,Google Street View
Medium Risk,Queen Anne,1401 5th Ave W,1895,4,Permitted Retrofit,Residential,11-100,Permit Drawing Review
High Risk,Queen Anne,1428 Queen Anne Ave N,1930,4,No visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Queen Anne,15 Nickerson St,1919,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review
Medium Risk,Queen Anne,1506 Queen Anne Ave N,1924,1,No visible retrofit,Commercial,1-10,Google Street View
Medium Risk,Queen Anne,1530 Queen Anne Ave N,1920,3,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Queen Anne,1530 Westlake Ave N,1923,2,Visible retrofit,Other Mixed Uses,11-100,Google Street View
High Risk,Queen Anne,1608 4th Ave W,1905,2,No visible retrofit,Public Assembly,101+,Field Visit
Medium Risk,Queen Anne,1735 Westlake Ave N,1934,2,No visible retrofit,Commercial/Office,11-100,Google Street View
Medium Risk,Queen Anne,1820 Queen Anne Ave N,1927,2,Permitted Retrofit,Commercial,101+,Google Street View
Medium Risk,Queen Anne,1821 10th Ave W,1929,1,Visible retrofit,Office,11-100,Google Street View-Rosettes
Medium Risk,Queen Anne,1829 10th Ave W,1928,1,No visible retrofit,Office,11-100,Google Street View
Medium Risk,Queen Anne,201 Galer St,1908,4,Permitted Retrofit,Residential,101+,Permit Drawing Review
Medium Risk,Queen Anne,209 W Olympic Pl,1925,4,No visible retrofit,Residential,11-100,Google Street View
High Risk,Queen Anne,2125 Queen Anne Ave N,1929,1,No visible retrofit,Public Assembly,101+,Sandborn Insurance Maps
Medium Risk,Queen Anne,2128 Queen Anne Ave N,1933,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Queen Anne,2129 Queen Anne Ave N,1910,1,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps
Medium Risk,Queen Anne,2135 Queen Anne Ave N,1947,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Queen Anne,2201 Queen Anne Ave N,1911,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Queen Anne,2205 Queen Anne Ave N,1928,1,No visible retrofit,Commercial,11-100,Permit Drawing Review
Medium Risk,Queen Anne,2215 Queen Anne Ave N,1922,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
High Risk,Queen Anne,25 W Highland Dr,1926,5,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Queen Anne,25 W Roy St,1914,5,No visible retrofit,Residential,101+,Google Street View
Medium Risk,Queen Anne,2553 Westlake Ave N,1925,1,No visible retrofit,Industrial,1-10,Google Street View
High Risk,Queen Anne,2555 8th Ave W,1926,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review
Medium Risk,Queen Anne,2555 Westlake Ave N,1926,2,Substantial Alteration,Other Mixed Uses,11-100,Google Street View
Critical Risk,Queen Anne,2919 1st Ave W,1914,1,Substantial Alteration,Schools,101+,Permit Drawing Review
Critical Risk,Queen Anne,3 W Cremora St,1925,1,Permitted Retrofit,Schools,11-100,Permit Drawing Review
Medium Risk,Queen Anne,303 Nickerson St,1920,1,No visible retrofit,Office,1-10,Sandborn Insurance Maps
Medium Risk,Queen Anne,307 Nickerson St,1922,2,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps
Medium Risk,Queen Anne,312 W Republican St,1928,2,No visible retrofit,Commercial/Residential,11-100,Google Street View
Medium Risk,Queen Anne,319 Nickerson St,1918,1,Visible retrofit,Commercial,11-100,Field Visit
Critical Risk,Queen Anne,3307 3rd Ave W,1891,4,Substantial Alteration,Schools,101+,Google Street View
Critical Risk,Queen Anne,3307 3rd Ave W,1940,2,No visible retrofit,Schools,101+,Google Street View
Medium Risk,Queen Anne,401 Queen Anne Ave N,1919,1,No visible retrofit,Office,11-100,Permit Drawing Review
Medium Risk,Queen Anne,405 Prospect St,1930,4,Permitted Retrofit,Residential,11-100,Google Street View
Medium Risk,Queen Anne,421 W Roy St,1930,5,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Queen Anne,1529 4th Ave W,1921,3,No visible retrofit,Industrial,11-100,Google Street View
Medium Risk,Queen Anne,406 W Garfield St,1913,2,Visible retrofit,Government,11-100,Google Street View
High Risk,Queen Anne,509 Queen Anne Ave N,1926,2,No visible retrofit,Public Assembly,101+,Google Street View
Medium Risk,Queen Anne,513 Queen Anne Ave N,1926,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Queen Anne,522 Queen Anne Ave N,1930,1,Visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Queen Anne,526 Queen Anne Ave N,1923,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Queen Anne,530 Queen Anne Ave N,1929,1,Substantial Alteration,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Queen Anne,600 Queen Anne Ave N,1918,3,No visible retrofit,Commercial/Residential,101+,Google Street View
High Risk,Queen Anne,601 Queen Anne Ave N,1925,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review
High Risk,Queen Anne,602 Valley St,1928,2,No visible retrofit,Public Assembly,101+,Google Street View
Medium Risk,Queen Anne,621 W Galer St,1917,4,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Queen Anne,621 W McGraw St,1926,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Queen Anne,7 Harrison St,1908,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys
Medium Risk,Queen Anne,706 Taylor Ave N,1920,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Queen Anne,707 Westlake Ave N,1914,2,No visible retrofit,Commercial,101+,
Medium Risk,Queen Anne,710 Taylor Ave N,1920,1,No visible retrofit,Commercial,1-10,Photos from Previous Surveys
Medium Risk,Queen Anne,721 9th Ave N,1922,1,Visible retrofit,Commercial,101+,Google Street View
Medium Risk,Queen Anne,731 Westlake Ave N,1921,2,No visible retrofit,Commercial,101+,Field Visit
Critical Risk,Queen Anne,411 Boston St,1922,1,Substantial Alteration,Schools,101+,Google Street View
Medium Risk,Queen Anne,822 Queen Anne Ave N,1915,4,No visible retrofit,Residential,11-100,Permit Drawing Review
Medium Risk,Queen Anne,823 5th Ave N,1900,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Queen Anne,900 Broad St,1941,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Queen Anne,900 Queen Anne Ave N,1929,5,No visible retrofit,Residential,11-100,Field Visit
Medium Risk,Queen Anne,916 Queen Anne Ave N,1909,5,Substantial Alteration,Residential,11-100,Permit Drawing Review
Medium Risk,Queen Anne,371 Ward St,1912,1,No visible retrofit,Government,1-10,Sandborn Insurance Maps
Critical Risk,Rainier Beach,4525 S Cloverdale St,1924,2,Permitted Retrofit,Schools,101+,Photos (Rosettes) from Previous Surveys
Critical Risk,Rainier Beach,9709 60th Ave S,1909,3,Permitted Retrofit,Schools,101+,Permit Drawing Review
Medium Risk,Rainier Beach,9220 Renton Ave S,1926,2,No visible retrofit,Other Mixed Uses,11-100,Permit Drawing Review
Medium Risk,Ravenna/Bryant,5520 Ravenna Ave NE,0,1,No visible retrofit,Government,1-10,
Medium Risk,Ravenna/Bryant,2111 NE 47th St,1921,3,No visible retrofit,Residential,11-100,Permit Drawing Review
Medium Risk,Ravenna/Bryant,2611 NE 55th St,1923,1,No visible retrofit,Commercial,1-10,Google Street View
Medium Risk,Ravenna/Bryant,2725 NE 55th St,1926,1,No visible retrofit,Commercial,1-10,Google Street View
Medium Risk,Ravenna/Bryant,2814 NE 55th St,1925,1,No visible retrofit,Residential,1-10,Google Street View
Medium Risk,Ravenna/Bryant,2818 NE 55th St,1924,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Ravenna/Bryant,2906 NE 55th St,1930,1,No visible retrofit,Commercial,11-100,Permit Drawing Review
Medium Risk,Ravenna/Bryant,3412 NE 65th St,1945,1,No visible retrofit,Public Assembly,11-100,White Card Permit Records
Medium Risk,Ravenna/Bryant,4600 22nd Ave NE,1927,3,No visible retrofit,Residential,11-100,White Card Permit Records
High Risk,Ravenna/Bryant,5801 Sand Point Way NE,0,3,No visible retrofit,Public Assembly,101+,Permit Drawing Review
High Risk,Ravenna/Bryant,6215 33rd Ave NE,1930,2,No visible retrofit,Public Assembly,101+,Field Visit
Critical Risk,Ravenna/Bryant,6220 32nd Ave NE,1949,1,Permitted Retrofit,Schools,101+,Permit Drawing Review
Medium Risk,Ravenna/Bryant,6545 Ravenna Ave NE,1911,4,Permitted Retrofit,Commercial/Residential,11-100,Google Street View
Medium Risk,Ravenna/Bryant,8000 Lake City Way NE,1941,1,No visible retrofit,Commercial,1-10,Photos from Previous Surveys
Medium Risk,Ravenna/Bryant,8014 15th Ave NE,1926,1,No visible retrofit,Commercial,101+,Photos from Previous Surveys
High Risk,Ravenna/Bryant,8208 18th Ave NE,1946,2,Permitted Retrofit,Public Assembly,101+,Google Street View
Medium Risk,Ravenna/Bryant,7200 12th Ave NE,1930,1,No visible retrofit,Government,1-10,Photos from Previous Surveys
Critical Risk,Roxhill/Westwood,7740 34th Ave SW,1926,2,Substantial Alteration,Schools,101+,Permit Drawing Review
Medium Risk,Roxhill/Westwood,9229 16th Ave SW,0,1,No visible retrofit,Commercial,1-10,Google Street View
Medium Risk,Roxhill/Westwood,9434 Delridge Way SW,1926,2,No visible retrofit,Commercial/Residential,11-100,Google Street View
Medium Risk,Roxhill/Westwood,9643 20th Ave SW,1949,2,No visible retrofit,Residential,11-100,Google Street View
High Risk,Seward Park,6701 51st Ave S,1927,2,No visible retrofit,Public Assembly,101+,Field Visit
Medium Risk,Seward Park,7621 Rainier Ave S,1920,1,No visible retrofit,Residential,11-100,Photos from Previous Surveys
Medium Risk,South Beacon Hill/New Holly,7762 Beacon Ave S,1935,2,No visible retrofit,Commercial/Residential,11-100,Google Street View
Medium Risk,South Park,8201 10th Ave S,1919,1,Permitted Retrofit,Government,101+,Google Street View
Critical Risk,South Park,723 S Concord St,1909,3,Permitted Retrofit,Schools,101+,Permit Drawing Review
Medium Risk,South Park,8520 14th Ave S,1936,1,No visible retrofit,Commercial,1-10,Sandborn Insurance Maps
Medium Risk,South Park,8601 8th Ave S,1905,2,No visible retrofit,Commercial/Residential,1-10,Google Street View
Medium Risk,Sunset Hill/Loyal Heights,2406 NW 54th St,1930,1,No visible retrofit,Office,11-100,Google Street View
Medium Risk,Sunset Hill/Loyal Heights,8498 Seaview Pl NW,1930,1,Permitted Retrofit,Public Assembly,11-100,Field Visit
High Risk,Sunset Hill/Loyal Heights,3014 NW 67th St,1907,2,No visible retrofit,Public Assembly,101+,Google Street View
Medium Risk,Sunset Hill/Loyal Heights,5300 26th Ave NW,1910,1,No visible retrofit,Industrial,1-10,Field Visit
Medium Risk,Sunset Hill/Loyal Heights,5903 24th Ave NW,1913,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Sunset Hill/Loyal Heights,6301 24th Ave NW,1928,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Univ Dist,1115 NE 43rd St,1929,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Univ Dist,1119 NE 43rd St,1929,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Univ Dist,1304 NE 42nd St,1924,3,No visible retrofit,Residential,11-100,Field Visit
Medium Risk,Univ Dist,1915 NE Chelan Ln,1947,3,No visible retrofit,Public Assembly,11-100,University of Washington Facilities List
Critical Risk,Univ Dist,4105 Memorial Way NE,1902,4,Permitted Retrofit,Schools,101+,University of Washington Daily--Online
Critical Risk,Univ Dist,2034 NE Skagit Ln,1948,4,No visible retrofit,Schools,101+,University of Washington Facilities List
Critical Risk,Univ Dist,2103 NE Skagit Ln,1896,4,Substantial Alteration,Schools,101+,Permit Drawing Review
Critical Risk,Univ Dist,4276 E Stevens Way NE,1926,3,Permitted Retrofit,Schools,101+,Permit Drawing Review
Critical Risk,Univ Dist,4182 E Stevens Way NE,1896,4,Permitted Retrofit,Schools,101+,Permit Drawing Review
Critical Risk,Univ Dist,1417 NE 42nd St,1922,3,No visible retrofit,Schools,101+,Google Street View
Critical Risk,Univ Dist,4216 Memorial Way NE,1895,3,Substantial Alteration,Schools,101+,Permit Drawing Review
Medium Risk,Univ Dist,4105 Brooklyn Ave NE,1927,4,No visible retrofit,Residential,11-100,Google Street View
Critical Risk,Univ Dist,4324 Memorial Way NE,1894,1,No visible retrofit,Schools,11-100,University of Washington Facilities List
Medium Risk,Univ Dist,4133 University Way NE,1920,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Univ Dist,4134 11th Ave NE,1926,1,Permitted Retrofit,Residential,11-100,Permit Drawing Review
Medium Risk,Univ Dist,4137 University Way NE,1908,3,No visible retrofit,Commercial/Residential,11-100,Google Street View
Medium Risk,Univ Dist,4145 University Way NE,1927,1,Visible retrofit,Commercial,101+,Google Street View
Medium Risk,Univ Dist,4000 University Way NE,1908,4,No visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Univ Dist,4200 University Way NE,1916,3,No visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Univ Dist,4203 Brooklyn Ave NE,1925,4,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Univ Dist,4209 University Way NE,1923,2,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Univ Dist,4214 Roosevelt Way NE,1924,1,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Univ Dist,3900 Jefferson Rd NE,1938,2,Permitted Retrofit,Industrial,1-10,University of Washington Facilities List
Medium Risk,Univ Dist,4216 University Way NE,1914,2,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Univ Dist,4217 University Way NE,1941,1,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Univ Dist,4235 Brooklyn Ave NE,1928,3,No visible retrofit,Residential,11-100,Field Visit
Medium Risk,Univ Dist,4235 University Way NE,1922,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Univ Dist,4247 University Way NE,1921,1,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Univ Dist,3920 Jefferson Rd NE,1929,2,No visible retrofit,Industrial,1-10,University of Washington Facilities List
Medium Risk,Univ Dist,4306 University Way NE,1923,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Univ Dist,4315 University Way NE,1900,3,Visible retrofit,Commercial,101+,Google Street View
Medium Risk,Univ Dist,4321 University Way NE,1919,2,No visible retrofit,Commercial,101+,Google Street View
Critical Risk,Univ Dist,4045 University Way NE,1931,1,Substantial Alteration,Schools,101+,University of Washington Facilities List
Medium Risk,Univ Dist,4325 University Way NE,1924,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
High Risk,Univ Dist,4329 University Way NE,1921,2,No visible retrofit,Public Assembly,101+,Google Street View
Medium Risk,Univ Dist,4336 University Way NE,1900,3,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Univ Dist,4338 University Way NE,1909,3,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Univ Dist,4341 University Way NE,1912,2,No visible retrofit,Commercial/Office,11-100,Photos from Previous Surveys
Medium Risk,Univ Dist,4346 University Way NE,1909,4,Permitted Retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Univ Dist,4503 17th Ave NE,1929,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Univ Dist,4506 17th Ave NE,1925,3,Visible retrofit,Residential,11-100,Google Street View
Medium Risk,Univ Dist,4508 University Way NE,1925,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Univ Dist,4509 University Way NE,1916,3,Visible retrofit,Commercial/Residential,11-100,Field Visit
Medium Risk,Univ Dist,4515 University Way NE,1928,3,Permitted Retrofit,Commercial/Office,101+,Photos from Previous Surveys
Medium Risk,Univ Dist,4516 University Way NE,1925,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Univ Dist,4520 University Way NE,1950,3,No visible retrofit,Commercial/Office,101+,Google Street View
Medium Risk,Univ Dist,4522 Brooklyn Ave NE,1925,4,No visible retrofit,Residential,101+,Google Street View
Medium Risk,Univ Dist,4523 University Way NE,1924,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Univ Dist,4525 University Way NE,1914,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Univ Dist,4529 17th Ave NE,1922,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Univ Dist,4530 University Way NE,1926,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Univ Dist,4534 University Way NE,1927,2,No visible retrofit,Commercial/Office,101+,Google Street View
Medium Risk,Univ Dist,4544 University Way NE,1924,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Univ Dist,4549 18th Ave NE,1926,3,No visible retrofit,Residential,11-100,Google Street View
High Risk,Univ Dist,4554 12th Ave NE,1938,3,No visible retrofit,Public Assembly,101+,Google Street View
Medium Risk,Univ Dist,4554 19th Ave NE,1920,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Univ Dist,4555 15th Ave NE,1928,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Univ Dist,4557 University Way NE,1919,4,No visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Univ Dist,4710 University Way NE,1923,7,Permitted Retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Univ Dist,4733 University Way NE,1909,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review
Medium Risk,Univ Dist,4736 University Way NE,1929,2,No visible retrofit,Commercial/Residential,11-100,Google Street View
High Risk,Univ Dist,4740 17th Ave NE,1920,2,No visible retrofit,Public Assembly,101+,Google Street View
High Risk,Univ Dist,4743 University Way NE,1930,2,Permitted Retrofit,Public Assembly,101+,Google Street View
Medium Risk,Univ Dist,4747 University Way NE,1921,1,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps
High Risk,Univ Dist,4759 15th Ave NE,1927,2,No visible retrofit,Public Assembly,101+,Google Street View
Medium Risk,Univ Dist,5003 15th Ave NE,1926,4,No visible retrofit,Residential,11-100,Google Street View
High Risk,Univ Dist,5009 Roosevelt Way NE,1909,1,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review
Medium Risk,Univ Dist,5201 University Way NE,1928,1,No visible retrofit,Commercial,101+,Sandborn Insurance Maps
Critical Risk,Univ Dist,5601 University Way NE,1925,1,Permitted Retrofit,Schools,101+,Google Street View
Medium Risk,Univ Dist,5649 University Way NE,1925,1,No visible retrofit,Commercial,11-100,White Card Permit Records
Medium Risk,Univ Dist,5810 Cowen Pl NE,1928,4,No visible retrofit,Residential,11-100,Permit Drawing Review
Medium Risk,Univ Dist,6300 Roosevelt Way NE,1930,1,No visible retrofit,Commercial/Residential,11-100,Sandborn Insurance Maps
Medium Risk,Wallingford,1307 N 46th St,1924,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Wallingford,1701 N 45th St,1925,3,Permitted Retrofit,Commercial/Residential,11-100,Permit Drawing Review
Medium Risk,Wallingford,1723 N 45th St,1926,2,No visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Wallingford,1820 N 45th St,1922,1,Visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Wallingford,1912 N 45th St,1923,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Wallingford,1920 N 45th St,1927,1,No visible retrofit,Commercial,101+,Photos from Previous Surveys
Medium Risk,Wallingford,2104 N 45th St,1929,1,Substantial Alteration,Commercial,11-100,Google Street View
High Risk,Wallingford,2115 N 45th St,1920,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review
Medium Risk,Wallingford,4135 Stone Way N,1912,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Wallingford,4136 Meridian Ave N,1924,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Wallingford,4401 Wallingford Ave N,1924,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Wallingford,4411 Wallingford Ave N,1938,1,No visible retrofit,Commercial,11-100,Permit Drawing Review
Medium Risk,Wallingford,4512 Stone Way N,1900,2,No visible retrofit,Commercial/Residential,11-100,Google Street View
Critical Risk,Wallingford,4649 Sunnyside Ave N,1906,5,Permitted Retrofit,Schools,101+,Permit Drawing Review
Medium Risk,Wallingford,4701 Roosevelt Way NE,1927,1,No visible retrofit,Commercial,101+,Google Street View
Critical Risk,Wallingford,4811 Wallingford Ave N,1910,3,Permitted Retrofit,Schools,101+,Google Street View
High Risk,Wallingford,5050 8th Ave NE,1910,2,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review
Critical Risk,Wallingford,120 NE 54th St,1913,3,Substantial Alteration,Schools,101+,Google Street View
Medium Risk,Wallingford,712 NE 45th St,1934,1,No visible retrofit,Public Assembly,11-100,White Card Permit Records
Critical Risk,Wallingford,4400 Interlake Ave N,1906,3,Substantial Alteration,Schools,101+,Google Street View
